id,suhu,kelembapan,cahaya,hujan,created_at,servo_jemuran,servo_pintu,led,status_jemuran,status_pintu
1,26.1,70.9,1012,0,"2025-11-12 07:12:40",0,0,0,TERTUTUP,TERTUTUP
2,26,71,1248,0,"2025-11-12 07:12:57",0,0,0,TERTUTUP,TERTUTUP
3,26,71.3,1454,0,"2025-11-12 07:13:05",0,0,0,TERTUTUP,TERTUTUP
4,26,71,844,0,"2025-11-12 07:13:10",0,0,0,TERTUTUP,TERTUTUP
5,26,70.9,855,0,"2025-11-12 07:13:20",0,0,0,TERTUTUP,TERTUTUP
6,26,70.8,1129,0,"2025-11-12 07:13:31",0,0,0,TERTUTUP,TERTUTUP
7,26,70.5,847,0,"2025-11-12 07:13:37",0,0,0,TERTUTUP,TERTUTUP
8,26,70.5,870,0,"2025-11-12 07:13:42",0,0,0,TERTUTUP,TERTUTUP
9,26,70.5,859,0,"2025-11-12 07:13:49",0,0,0,TERTUTUP,TERTUTUP
10,26,70.5,1880,0,"2025-11-12 07:13:54",0,0,0,TERTUTUP,TERTUTUP
11,26,70.6,992,0,"2025-11-12 07:13:58",0,0,0,TERTUTUP,TERTUTUP
12,26,70.5,963,0,"2025-11-12 07:14:12",0,0,0,TERTUTUP,TERTUTUP
13,26,70.6,989,0,"2025-11-12 07:14:24",0,0,0,TERTUTUP,TERTUTUP
14,26,70.5,911,0,"2025-11-12 07:14:29",0,0,0,TERTUTUP,TERTUTUP
15,26,70.5,933,0,"2025-11-12 07:14:34",0,0,0,TERTUTUP,TERTUTUP
16,26,70.6,923,0,"2025-11-12 07:14:39",0,0,0,TERTUTUP,TERTUTUP
17,26,70.4,937,0,"2025-11-12 07:14:45",0,0,0,TERTUTUP,TERTUTUP
18,26,70.4,925,0,"2025-11-12 07:14:49",0,0,0,TERTUTUP,TERTUTUP
19,26,70.4,933,0,"2025-11-12 07:14:53",0,0,0,TERTUTUP,TERTUTUP
20,26,70.3,932,0,"2025-11-12 07:14:57",0,0,0,TERTUTUP,TERTUTUP
21,26,70.2,896,0,"2025-11-12 07:15:02",0,0,0,TERTUTUP,TERTUTUP
22,26,71.3,904,0,"2025-11-12 07:15:13",0,0,0,TERTUTUP,TERTUTUP
23,26,70.7,912,0,"2025-11-12 07:15:16",0,0,0,TERTUTUP,TERTUTUP
24,26,70.4,920,0,"2025-11-12 07:15:23",0,0,0,TERTUTUP,TERTUTUP
25,26,70.2,893,0,"2025-11-12 07:15:28",0,0,0,TERTUTUP,TERTUTUP
