suhu,kelembapan,cahaya,hujan,label_cuaca
23.33,98.55,1006.4,0.58,hujan
25.09,49.15,1860.44,0.09,cerah
21.28,89.7,1497.26,0.44,hujan
21.34,89.3,1531.84,0.02,hujan
21.35,57.64,968.06,0.53,berawan
23.56,50.67,284.05,0.07,cerah
23.07,72.11,804.58,0.71,hujan
30.45,58.69,1042.61,0.83,hujan
29.94,43.81,361.33,0.51,berawan
32.45,80.87,1937.47,0.84,hujan
28.55,49.69,1956.34,0.85,hujan
28.55,92.09,1443.99,0.78,hujan
26.67,67.07,1012.82,0.04,cerah
20.95,96.96,295.06,0.44,hujan
33.19,66.24,891.75,0.83,hujan
21.45,55.48,295.4,0.13,cerah
27.29,81.28,1131.1,0.42,berawan
23.16,44.5,121.14,0.99,hujan
25.5,55.42,656.71,0.31,berawan
23.19,58.82,705.01,0.62,hujan
23.86,88.65,141.88,0.13,hujan
22.22,77.63,1506.09,0.99,hujan
33.36,74.86,1646.17,0.47,berawan
27.47,91.47,877.52,0.7,hujan
27.24,94.58,1549.46,0.96,hujan
26.88,41.81,1263.37,0.11,cerah
27.1,57.9,631.6,0.85,hujan
30.73,65.78,1987.85,0.73,hujan
25.49,78.71,849.52,0.43,berawan
20.37,67.25,596.85,0.89,hujan
30.81,66.69,1843.44,0.4,berawan
20.51,55.86,788.59,0.1,cerah
32.71,92.0,531.53,0.51,berawan
33.98,70.87,1665.4,0.82,hujan
21.83,97.71,1873.18,0.9,hujan
25.19,71.86,1016.5,0.42,berawan
22.29,95.06,1879.58,0.11,hujan
26.49,72.09,777.36,0.07,cerah
27.61,54.42,467.65,0.03,cerah
30.09,95.09,751.89,0.74,hujan
29.18,43.16,1553.01,0.7,hujan
20.11,87.48,187.21,0.55,hujan
28.72,54.12,901.54,0.28,cerah
21.87,63.15,1911.57,0.88,hujan
28.18,91.79,1621.85,0.4,berawan
29.66,68.69,553.76,0.87,hujan
33.45,67.59,81.67,0.0,cerah
28.16,91.67,737.81,0.85,hujan
33.86,51.18,1700.04,0.64,hujan
28.23,77.02,943.88,0.06,cerah
24.78,43.24,503.54,0.14,cerah
28.48,99.22,1565.22,0.71,hujan
31.13,96.55,1067.36,0.36,berawan
32.37,95.42,1151.15,0.31,berawan
28.33,92.84,855.12,0.14,cerah
24.13,79.83,1582.78,0.32,berawan
21.31,51.68,797.7,0.5,berawan
34.0,46.33,669.95,0.26,cerah
23.14,95.8,1490.59,0.43,hujan
31.04,46.11,1283.16,0.77,hujan
28.92,43.94,1399.54,0.63,hujan
30.97,65.41,1904.78,0.44,berawan
32.1,85.63,1345.0,0.7,hujan
24.65,88.5,77.75,0.64,hujan
32.36,81.45,1870.31,0.91,hujan
31.79,41.98,1581.55,0.0,cerah
26.95,41.68,1253.64,0.24,cerah
28.58,66.38,1926.46,0.65,hujan
25.45,41.04,184.56,0.32,berawan
22.52,68.24,1726.55,0.98,hujan
22.17,51.12,1708.33,0.68,hujan
24.09,65.73,824.69,0.59,berawan
25.27,63.29,248.43,0.9,hujan
32.21,76.27,998.32,0.29,cerah
32.11,90.55,1708.41,0.65,hujan
23.01,60.3,1508.91,0.63,hujan
27.04,61.81,679.72,0.94,hujan
29.95,44.81,1430.59,0.59,berawan
27.77,74.44,601.66,0.06,cerah
29.01,54.84,1461.42,0.51,berawan
26.38,62.26,1695.68,0.8,hujan
33.08,62.14,1355.31,0.04,cerah
34.8,49.89,1129.73,0.76,hujan
27.86,54.95,639.42,0.54,berawan
29.02,65.26,479.15,0.58,berawan
28.53,49.54,1088.68,0.74,hujan
31.3,75.66,1642.58,0.83,hujan
34.68,87.62,1046.13,0.71,hujan
31.65,96.51,869.81,0.36,berawan
28.53,78.56,1208.57,0.53,berawan
33.46,43.45,1323.77,0.25,cerah
24.09,90.86,781.45,0.09,hujan
34.75,41.64,1528.02,0.33,berawan
22.57,43.41,1125.14,0.96,hujan
31.3,45.46,1916.74,0.92,hujan
28.09,79.08,1524.64,0.81,hujan
23.12,47.06,1871.56,0.82,hujan
22.19,93.59,1560.48,0.06,hujan
29.47,75.9,491.37,0.14,cerah
34.92,66.95,1663.85,0.11,cerah
20.33,88.7,804.9,0.31,hujan
25.49,97.85,540.9,0.73,hujan
20.01,83.2,679.39,0.24,cerah
23.63,54.43,524.97,0.26,cerah
32.72,62.77,889.62,0.11,cerah
33.83,56.12,124.88,0.83,hujan
29.6,42.55,1586.68,0.19,cerah
33.96,64.02,1312.25,0.03,cerah
31.09,49.72,86.36,0.03,cerah
24.27,79.23,151.3,0.16,berawan
29.8,96.04,842.09,1.0,hujan
23.16,63.42,543.79,0.97,hujan
34.24,76.68,1030.65,0.36,berawan
29.31,55.98,69.67,0.78,hujan
32.91,46.92,270.94,0.1,cerah
22.51,81.68,833.72,0.83,hujan
28.99,48.69,1842.69,0.55,berawan
20.89,58.7,1791.35,0.87,hujan
25.64,46.16,1507.31,0.73,hujan
25.0,98.0,244.59,0.86,hujan
21.0,61.55,1930.84,0.9,hujan
31.26,96.18,228.36,0.01,berawan
26.73,63.19,216.96,0.54,berawan
25.44,69.72,302.76,0.8,hujan
27.24,50.95,1146.89,0.06,cerah
26.45,55.21,207.92,0.57,berawan
29.42,66.42,1515.48,0.59,berawan
21.57,94.11,945.76,0.35,hujan
20.29,85.75,262.46,0.72,hujan
22.39,92.62,1388.11,0.18,hujan
21.02,81.44,716.48,0.69,hujan
29.21,76.02,185.93,0.34,berawan
22.36,80.27,741.04,0.3,berawan
27.47,75.77,940.61,0.08,cerah
24.17,90.82,614.21,0.44,hujan
29.7,82.53,1447.61,0.81,hujan
22.69,85.16,121.42,0.73,hujan
20.81,53.26,639.24,0.09,cerah
24.73,90.51,1098.85,0.52,hujan
28.94,81.75,548.39,0.54,berawan
23.1,40.09,205.31,0.68,hujan
26.97,60.72,917.39,0.63,hujan
26.29,82.73,1848.32,0.43,berawan
28.37,68.26,428.01,0.24,cerah
22.93,87.69,1708.76,0.38,hujan
23.02,69.42,812.39,0.72,hujan
23.82,47.6,1276.68,0.47,berawan
21.35,49.32,1552.4,0.47,berawan
29.31,77.98,944.82,0.59,berawan
20.86,92.66,821.09,0.43,hujan
28.84,44.68,1121.95,0.79,hujan
25.16,88.34,807.95,0.78,hujan
21.65,97.57,683.23,0.18,hujan
30.01,75.11,935.16,0.34,berawan
28.59,53.77,941.85,0.14,cerah
21.48,49.06,1117.35,0.35,berawan
23.8,58.08,654.99,0.36,berawan
22.54,56.17,492.69,0.09,cerah
23.01,93.56,250.95,0.26,hujan
20.82,82.09,1688.78,0.16,cerah
28.72,57.78,1806.43,0.89,hujan
27.18,95.29,1468.7,0.75,hujan
27.99,78.51,1312.66,0.9,hujan
27.48,68.2,520.88,0.52,berawan
22.71,81.05,202.34,0.43,berawan
25.02,67.86,1242.62,0.8,hujan
20.01,69.61,665.33,0.42,berawan
29.76,66.33,722.39,0.41,berawan
27.78,73.46,642.46,0.81,hujan
27.3,98.76,1287.43,0.54,berawan
28.5,81.94,1879.07,0.51,berawan
33.76,55.35,851.7,0.87,hujan
33.73,55.06,1247.17,0.8,hujan
27.52,77.88,121.97,0.55,berawan
34.41,44.33,173.55,0.71,hujan
33.27,88.75,784.61,0.39,berawan
28.82,75.55,276.34,0.38,berawan
28.63,98.38,960.23,0.68,hujan
21.26,42.29,77.24,0.49,berawan
22.82,73.01,1167.54,0.32,berawan
21.54,67.82,1765.31,0.26,cerah
26.84,50.07,1917.77,0.16,cerah
34.4,65.67,190.27,0.82,hujan
23.41,76.12,1343.77,0.33,berawan
32.43,44.45,1275.82,0.1,cerah
26.75,82.64,1910.27,0.31,berawan
22.28,76.85,99.06,0.64,hujan
33.15,73.52,1063.97,0.54,berawan
21.2,85.52,692.5,0.43,hujan
26.71,77.76,1579.71,0.3,berawan
32.49,95.95,1008.15,0.67,hujan
23.48,44.74,1826.66,0.78,hujan
32.67,51.67,1165.6,0.18,cerah
30.75,40.18,1488.84,0.22,cerah
22.33,70.34,371.88,0.6,berawan
26.21,94.23,1140.72,0.1,cerah
23.74,42.75,176.71,0.38,berawan
34.56,94.66,610.07,0.32,berawan
26.17,68.95,1153.33,0.49,berawan
25.92,65.27,334.67,0.62,hujan
23.1,81.12,1865.41,0.78,hujan
25.86,69.3,1051.73,0.31,berawan
21.97,50.52,301.08,0.14,cerah
26.13,92.22,770.61,0.97,hujan
23.64,41.53,1182.09,0.39,berawan
21.62,62.63,1080.9,0.85,hujan
31.94,42.94,399.22,0.55,berawan
29.58,82.18,1253.48,0.04,cerah
28.71,65.44,771.34,0.21,cerah
30.12,57.2,620.59,0.59,berawan
22.12,84.91,1556.3,0.88,hujan
33.85,58.29,1705.5,0.31,berawan
23.97,44.32,1158.86,0.59,berawan
20.75,53.91,1834.71,0.88,hujan
27.76,85.66,477.87,0.29,cerah
27.54,74.62,167.81,0.64,hujan
24.05,97.28,187.17,0.12,hujan
31.79,74.51,1485.91,0.47,berawan
24.37,96.64,1538.89,0.68,hujan
25.67,54.08,1897.93,0.19,cerah
30.99,57.01,414.87,0.85,hujan
22.02,71.84,1072.53,0.04,cerah
22.35,90.55,1946.36,0.31,hujan
24.88,41.19,530.93,0.99,hujan
26.68,89.57,1189.8,0.02,cerah
33.17,59.66,558.65,0.53,berawan
22.19,59.92,1036.31,0.96,hujan
34.06,42.3,816.07,0.92,hujan
32.81,87.19,1782.76,0.9,hujan
22.56,53.37,1297.01,0.57,berawan
31.18,71.42,1862.72,0.47,berawan
31.02,78.59,362.63,0.57,berawan
31.39,41.6,1166.98,0.83,hujan
26.6,79.93,1727.49,0.18,cerah
34.01,78.43,1561.8,0.37,berawan
30.75,54.19,1199.66,0.91,hujan
34.32,61.39,250.55,0.38,berawan
28.76,63.93,1000.32,0.58,berawan
20.81,75.77,171.01,0.77,hujan
21.36,99.79,141.34,0.96,hujan
27.78,76.36,75.98,0.54,berawan
33.66,75.39,104.68,0.97,hujan
23.38,79.23,1712.13,0.64,hujan
